id,value
id_0,25.071
id_1,60.921
id_2,26.995
id_3,31.095
id_4,11.870
id_5,25.381
id_6,44.933
id_7,20.037
id_8,53.349
id_9,33.170
id_10,35.972
id_11,58.351
id_12,36.563
id_13,32.471
id_14,31.310
id_15,14.122
id_16,51.458
id_17,24.097
id_18,13.214
id_19,17.717
id_20,12.962
id_21,28.400
id_22,37.763
id_23,11.209
id_24,61.925
id_25,43.089
id_26,23.144
id_27,11.850
id_28,27.739
id_29,28.279
id_30,15.145
id_31,9.113
id_32,17.037
id_33,8.096
id_34,17.712
id_35,45.614
id_36,23.972
id_37,28.304
id_38,14.950
id_39,55.003
id_40,42.869
id_41,19.615
id_42,51.461
id_43,15.027
id_44,45.415
id_45,51.230
id_46,54.399
id_47,36.641
id_48,50.608
id_49,32.500
id_50,29.790
id_51,17.662
id_52,40.030
id_53,27.547
id_54,36.574
id_55,43.086
id_56,26.902
id_57,21.769
id_58,37.858
id_59,36.980
id_60,10.862
id_61,30.657
id_62,32.017
id_63,51.852
id_64,51.916
id_65,28.784
id_66,37.466
id_67,50.481
id_68,30.908
id_69,33.709
id_70,56.376
id_71,54.137
id_72,41.641
id_73,12.816
id_74,14.534
id_75,37.534
id_76,59.295
id_77,5.420
id_78,43.967
id_79,38.970
id_80,9.826
id_81,19.408
id_82,9.587
id_83,34.024
id_84,11.096
id_85,6.958
id_86,14.613
id_87,15.793
id_88,18.269
id_89,17.907
id_90,32.683
id_91,14.393
id_92,17.034
id_93,10.032
id_94,34.986
id_95,15.549
id_96,16.078
id_97,8.715
id_98,10.431
id_99,5.949
id_100,9.647
id_101,24.309
id_102,8.645
id_103,7.908
id_104,15.017
id_105,35.635
id_106,24.272
id_107,11.101
id_108,18.172
id_109,15.294
id_110,10.071
id_111,10.821
id_112,15.627
id_113,22.761
id_114,20.928
id_115,14.850
id_116,12.704
id_117,37.425
id_118,24.940
id_119,2.389
id_120,0.088
id_121,10.227
id_122,11.743
id_123,7.390
id_124,9.976
id_125,20.671
id_126,24.466
id_127,8.936
id_128,13.457
id_129,8.542
id_130,4.879
id_131,28.759
id_132,18.389
id_133,24.396
id_134,29.556
id_135,23.971
id_136,8.237
id_137,19.164
id_138,71.882
id_139,60.914
id_140,27.173
id_141,14.564
id_142,24.344
id_143,6.881
id_144,15.537
id_145,5.242
id_146,15.918
id_147,8.333
id_148,15.826
id_149,19.804
id_150,38.844
id_151,20.045
id_152,17.955
id_153,13.479
id_154,17.665
id_155,25.286
id_156,24.605
id_157,35.399
id_158,2.626
id_159,21.596
id_160,38.665
id_161,21.809
id_162,53.708
id_163,12.376
id_164,33.757
id_165,26.622
id_166,25.574
id_167,1.525
id_168,71.350
id_169,18.821
id_170,13.270
id_171,69.838
id_172,22.779
id_173,2.178
id_174,29.471
id_175,2.019
id_176,10.049
id_177,23.440
id_178,25.917
id_179,25.768
id_180,38.723
id_181,35.996
id_182,30.206
id_183,12.144
id_184,10.120
id_185,37.746
id_186,34.511
id_187,32.182
id_188,12.120
id_189,25.152
id_190,11.743
id_191,10.584
id_192,28.712
id_193,77.147
id_194,32.684
id_195,12.824
id_196,64.163
id_197,15.097
id_198,19.136
id_199,24.613
id_200,112.686
id_201,23.568
id_202,51.942
id_203,8.950
id_204,57.578
id_205,34.765
id_206,13.587
id_207,14.206
id_208,57.970
id_209,19.169
id_210,36.601
id_211,66.754
id_212,22.613
id_213,107.847
id_214,35.321
id_215,80.438
id_216,85.012
id_217,70.153
id_218,30.856
id_219,22.135
id_220,30.687
id_221,59.337
id_222,28.163
id_223,46.976
id_224,42.318
id_225,6.012
id_226,6.432
id_227,73.785
id_228,27.112
id_229,2.438
id_230,38.785
id_231,17.137
id_232,25.403
id_233,9.114
id_234,18.006
id_235,22.897
id_236,18.010
id_237,4.342
id_238,21.737
id_239,9.653
